celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
JKRowling,Obama,000005,000001,0.39788252,8
JKRowling,Obama,000005,000003,0.47448334,8
JKRowling,Obama,000005,000005,0.4738615,7
JKRowling,Obama,000005,000006,0.4299487,9
JKRowling,Obama,000005,000011,0.4740403,7
JKRowling,Obama,000005,000012,0.41974026,8
JKRowling,Obama,000005,000013,0.49010834,10
JKRowling,Obama,000005,000014,0.49075255,8
JKRowling,Obama,000005,000016,0.486316,6
JKRowling,Obama,000005,000017,0.5142871,9
JKRowling,Obama,000005,000024,0.42869815,7
JKRowling,Obama,000005,000029,0.40929046,7
JKRowling,Obama,000005,000030,0.39320424,7
JKRowling,Obama,000005,000031,0.5002281,10
JKRowling,Obama,000005,000033,0.5286359,10
JKRowling,Obama,000005,000037,0.57939494,10
JKRowling,Obama,000005,000041,0.44269475,10
JKRowling,Obama,000005,000043,0.44289535,8
JKRowling,Obama,000005,000044,0.5598222,9
JKRowling,Obama,000005,000046,0.42212623,8
JKRowling,Obama,000005,000049,0.48571375,9
JKRowling,Obama,000005,000052,0.5904928,10
JKRowling,Obama,000005,000053,0.37084696,7
JKRowling,Obama,000005,000054,0.43322882,10
JKRowling,Obama,000005,000059,0.45967492,6
JKRowling,Obama,000005,000060,0.5031934,7
JKRowling,Obama,000005,000067,0.5189538,10
JKRowling,Obama,000005,000069,0.42895153,8
JKRowling,Obama,000005,000070,0.48451424,8
JKRowling,Obama,000005,000073,0.42330912,7
JKRowling,Obama,000005,000074,0.485743,10
JKRowling,Obama,000005,000075,0.42791325,7
JKRowling,Obama,000005,000079,0.46296173,7
JKRowling,Obama,000005,000082,0.42047113,8
JKRowling,Obama,000005,000083,0.4409042,7
JKRowling,Obama,000005,000084,0.48652568,9
JKRowling,Obama,000005,000087,0.43587112,8
JKRowling,Obama,000005,000088,0.42217442,8
JKRowling,Obama,000005,000089,0.5224878,8
JKRowling,Obama,000005,000093,0.43345317,7
JKRowling,Obama,000005,000094,0.42120314,7
JKRowling,Obama,000005,000095,0.43720883,7
JKRowling,Obama,000005,000096,0.41963404,7
JKRowling,Obama,000005,000097,0.46595585,6
JKRowling,Obama,000005,000098,0.4646852,6
JKRowling,Obama,000005,000099,0.4484988,9
JKRowling,Obama,000005,000100,0.41361943,10
JKRowling,Obama,000005,000101,0.5137623,9
JKRowling,Obama,000005,000102,0.46485242,8
JKRowling,Obama,000005,000105,0.38459384,10
JKRowling,Obama,000008,000001,0.37827125,8
JKRowling,Obama,000008,000003,0.45485377,7
JKRowling,Obama,000008,000005,0.50829256,6
JKRowling,Obama,000008,000006,0.41649085,8
JKRowling,Obama,000008,000011,0.46369043,6
JKRowling,Obama,000008,000012,0.41153923,7
JKRowling,Obama,000008,000013,0.49290672,9
JKRowling,Obama,000008,000014,0.47074556,8
JKRowling,Obama,000008,000016,0.43000245,6
JKRowling,Obama,000008,000017,0.49048245,9
JKRowling,Obama,000008,000024,0.49069944,6
JKRowling,Obama,000008,000029,0.3851975,6
JKRowling,Obama,000008,000030,0.44186518,6
JKRowling,Obama,000008,000031,0.45361233,9
JKRowling,Obama,000008,000033,0.5162407,9
JKRowling,Obama,000008,000037,0.52878934,9
JKRowling,Obama,000008,000041,0.47421488,9
JKRowling,Obama,000008,000043,0.44599903,8
JKRowling,Obama,000008,000044,0.5199164,8
JKRowling,Obama,000008,000046,0.43041533,8
JKRowling,Obama,000008,000049,0.4753219,9
JKRowling,Obama,000008,000052,0.53116006,9
