folder,num_images,mean_avg_sim,std_avg_sim,min_avg_sim,max_avg_sim
BrunoMars,50,0.8000546954116042,0.030222848394648,0.6652698529009916,0.8302403810072918
Dicaprio,50,0.7690278102913681,0.02772221812574239,0.6874322003247787,0.8192500228784523
EunwooCha,50,0.8348753397805351,0.019193885918199618,0.7945249250956944,0.8727669411776017
FanBingbing,50,0.8531138201149143,0.01941890301101131,0.8071969419109578,0.8838052737469576
IshiharaSatomi,50,0.8289661671677415,0.02132372202356416,0.7608992347911913,0.8609077273582926
JKRowling,50,0.8256355098802216,0.02163542337099394,0.7681590440321941,0.8616076464555702
Jennie,50,0.8256882387278032,0.018385330706681042,0.7652969713113746,0.8530360119683402
Obama,50,0.9193428049768719,0.01250288371752386,0.8823163922952146,0.9357544962240725
TaylorSwift,50,0.9067949641480737,0.015903930487563948,0.8604672234885546,0.9295103233687732
TomHolland,50,0.8058091469686859,0.02499726477407395,0.730922954423087,0.8582625291785415
