folder,num_images,mean_avg_sim,std_avg_sim,min_avg_sim,max_avg_sim
BrunoMars,50,0.6713505801862599,0.048199225757995415,0.5348831713199615,0.7402549434681328
Dicaprio,50,0.6123876051513516,0.03698913302933558,0.5314521339474892,0.6686793188659512
EunwooCha,50,0.5498922083694108,0.0454805156576785,0.368869636435898,0.6165051496758753
FanBingbing,50,0.6112649143228726,0.047596495384138994,0.48549949392980457,0.6779671943917567
IshiharaSatomi,50,0.5380646559656883,0.04452415122607532,0.4026897616532384,0.6214632556146505
JKRowling,50,0.6609454937857024,0.03650113006772563,0.5798666653584461,0.7098761152247993
Jennie,50,0.5615593700749534,0.040986194244751424,0.4223473400485759,0.6454631965987536
Obama,50,0.6956830160471859,0.028033920512398447,0.6202977299690247,0.7512492537498474
TaylorSwift,50,0.5508119038659699,0.05038394155872017,0.4286515250497935,0.6511079425714454
TomHolland,50,0.6141786044714402,0.04772939893756741,0.4980051827674009,0.6865191173796751
