,celeb,reference_image_id,avg_similarity
0,TaylorSwift,1,0.5262018293877551
1,TaylorSwift,3,0.5600547920408163
2,TaylorSwift,5,0.5025354434693877
3,TaylorSwift,6,0.6384441297959184
4,TaylorSwift,8,0.576117542244898
5,TaylorSwift,9,0.6112471122448979
6,TaylorSwift,10,0.6459915951020407
7,TaylorSwift,12,0.5141882840816325
8,TaylorSwift,13,0.5757274632653061
9,TaylorSwift,14,0.6041696234693877
10,TaylorSwift,19,0.582544033877551
11,TaylorSwift,20,0.6106055163265306
12,TaylorSwift,21,0.5633644336734693
13,TaylorSwift,31,0.5113389197959183
14,TaylorSwift,32,0.6372495591836734
15,TaylorSwift,35,0.555334189387755
16,TaylorSwift,36,0.5219629675510205
17,TaylorSwift,37,0.5927832634693877
18,TaylorSwift,38,0.5522174410204082
19,TaylorSwift,39,0.5267277379591837
20,TaylorSwift,46,0.6148985877551021
21,TaylorSwift,47,0.5104179038775509
22,TaylorSwift,48,0.5711782428571428
23,TaylorSwift,52,0.516263976122449
24,TaylorSwift,54,0.6323516151020409
25,TaylorSwift,56,0.5480743312244898
26,TaylorSwift,57,0.5531877020408164
27,TaylorSwift,58,0.5428761371428571
28,TaylorSwift,62,0.6411263869387755
29,TaylorSwift,64,0.5354515124489796
30,TaylorSwift,66,0.6273659067346938
31,TaylorSwift,69,0.6248913175510205
32,TaylorSwift,70,0.5849122228571428
33,TaylorSwift,80,0.5978616024489797
34,TaylorSwift,91,0.5436428891836734
35,TaylorSwift,96,0.5838309314285715
36,TaylorSwift,97,0.5678215938775509
37,TaylorSwift,98,0.5513754765306121
38,TaylorSwift,101,0.6162602265306123
39,TaylorSwift,103,0.6135514006122449
40,TaylorSwift,108,0.6276770308163265
41,TaylorSwift,109,0.6218345016326531
42,TaylorSwift,111,0.49556793591836734
43,TaylorSwift,113,0.6058729769387755
44,TaylorSwift,114,0.6319073408163266
45,TaylorSwift,115,0.5789570128571428
46,TaylorSwift,116,0.5402624567346939
47,TaylorSwift,117,0.5665525681632653
48,TaylorSwift,118,0.5961844271428571
49,TaylorSwift,200,0.6376456728571428
