,celeb,reference_image_id,avg_similarity
0,FanBingbing,1,0.5838445328571428
1,FanBingbing,3,0.5793655346938775
2,FanBingbing,4,0.6183932918367346
3,FanBingbing,7,0.5569753130612245
4,FanBingbing,8,0.5764506946938776
5,FanBingbing,9,0.6214986363265306
6,FanBingbing,12,0.49374905897959187
7,FanBingbing,13,0.5666365912244898
8,FanBingbing,19,0.597190296122449
9,FanBingbing,20,0.6457041236734694
10,FanBingbing,25,0.5874650357142857
11,FanBingbing,26,0.5852555010204081
12,FanBingbing,27,0.5966773657142858
13,FanBingbing,31,0.6022982044897959
14,FanBingbing,34,0.5940082020408163
15,FanBingbing,35,0.5816405657142858
16,FanBingbing,36,0.6234557151020408
17,FanBingbing,37,0.5415984587755102
18,FanBingbing,41,0.5175026265306122
19,FanBingbing,42,0.5518589826530612
20,FanBingbing,44,0.5519568979591837
21,FanBingbing,46,0.5861634720408163
22,FanBingbing,47,0.5734312904081633
23,FanBingbing,49,0.5770471530612246
24,FanBingbing,50,0.5155828138775511
25,FanBingbing,53,0.5947862928571428
26,FanBingbing,56,0.5156387736734694
27,FanBingbing,58,0.6010085006122449
28,FanBingbing,59,0.5889149165306123
29,FanBingbing,70,0.6011421997959183
30,FanBingbing,71,0.6178664251020408
31,FanBingbing,72,0.5490656328571428
32,FanBingbing,78,0.5840686614285714
33,FanBingbing,82,0.5759998522448979
34,FanBingbing,85,0.6087995510204082
35,FanBingbing,86,0.5713679714285714
36,FanBingbing,88,0.5881725373469388
37,FanBingbing,90,0.5590953230612244
38,FanBingbing,94,0.5924712616326531
39,FanBingbing,95,0.582908486122449
40,FanBingbing,112,0.6060954446938775
41,FanBingbing,118,0.5658143204081633
42,FanBingbing,120,0.5440315785714286
43,FanBingbing,121,0.623621902244898
44,FanBingbing,122,0.45989642755102045
45,FanBingbing,123,0.5476958730612245
46,FanBingbing,124,0.5861077955102041
47,FanBingbing,125,0.573249807755102
48,FanBingbing,127,0.5343804800000002
49,FanBingbing,128,0.5629930642857142
