,celeb,reference_image_id,avg_similarity
0,EunwooCha,000001_0,0.500984716122449
1,EunwooCha,000003_0,0.5685263002040817
2,EunwooCha,000005_0,0.53653804
3,EunwooCha,000007_0,0.6108613642857142
4,EunwooCha,000008_0,0.5317864346938775
5,EunwooCha,000009_0,0.5833845642857143
6,EunwooCha,000010_0,0.5658920620408163
7,EunwooCha,000011_0,0.5919062818367347
8,EunwooCha,000012_0,0.5226153120408163
9,EunwooCha,000013_0,0.5186696142857143
10,EunwooCha,000014_0,0.5143894469387755
11,EunwooCha,000015_0,0.6040583636734694
12,EunwooCha,000016_0,0.49392045122448974
13,EunwooCha,000017_0,0.566436952244898
14,EunwooCha,000018_0,0.573351893877551
15,EunwooCha,000020_0,0.5377056275510205
16,EunwooCha,000021_0,0.5203611891836735
17,EunwooCha,000022_0,0.4998476563265306
18,EunwooCha,000023_0,0.5680322887755103
19,EunwooCha,000024_0,0.5116689432653061
20,EunwooCha,000025_0,0.5206148204081633
21,EunwooCha,000026_0,0.5631086140816327
22,EunwooCha,000027_0,0.5685965308163266
23,EunwooCha,000028_0,0.5747915979591837
24,EunwooCha,000029_0,0.5871959973469388
25,EunwooCha,000030_0,0.5422714857142857
26,EunwooCha,000032_0,0.5624221106122449
27,EunwooCha,000037_0,0.5126275473469388
28,EunwooCha,000042_0,0.5528156953061224
29,EunwooCha,000043_0,0.5396806479591837
30,EunwooCha,000044_0,0.5633574530612245
31,EunwooCha,000050_0,0.521199693877551
32,EunwooCha,000052_0,0.5899151110204082
33,EunwooCha,000053_0,0.4746957746938776
34,EunwooCha,000055_0,0.5230000583673469
35,EunwooCha,000057_0,0.509986112244898
36,EunwooCha,000058_0,0.5234518163265306
37,EunwooCha,000060_0,0.5342629638775511
38,EunwooCha,000065_0,0.5518964146938776
39,EunwooCha,000066_0,0.51438849
40,EunwooCha,000067_0,0.43769494734693887
41,EunwooCha,000069_0,0.5259648651020408
42,EunwooCha,000072_0,0.48763712061224496
43,EunwooCha,000073_0,0.50373851
44,EunwooCha,000077_1,0.5656662299999999
45,EunwooCha,000079_0,0.5935063720408164
46,EunwooCha,000081_0,0.5169689508163265
47,EunwooCha,000086_0,0.46463904591836735
48,EunwooCha,000094_0,0.5452991638775511
49,EunwooCha,000101_0,0.5744200638775511
