,celeb,reference_image_id,avg_similarity
0,JKRowling,5,0.59121677
1,JKRowling,8,0.5927912663265307
2,JKRowling,9,0.5658079171428572
3,JKRowling,10,0.5841358038775509
4,JKRowling,12,0.586885952244898
5,JKRowling,14,0.6260606253061225
6,JKRowling,15,0.5270391563265305
7,JKRowling,17,0.5444021042857143
8,JKRowling,18,0.5896497128571428
9,JKRowling,21,0.5931951273469388
10,JKRowling,22,0.6173252034693878
11,JKRowling,27,0.5191732020408163
12,JKRowling,29,0.5679229161224489
13,JKRowling,30,0.6023886900000001
14,JKRowling,31,0.5586793883673469
15,JKRowling,32,0.5404804869387755
16,JKRowling,35,0.5402633585714287
17,JKRowling,36,0.573477102244898
18,JKRowling,38,0.623924687755102
19,JKRowling,41,0.6370406085714285
20,JKRowling,44,0.5493846636734694
21,JKRowling,45,0.6210667897959183
22,JKRowling,47,0.6178076697959183
23,JKRowling,49,0.5820264042857142
24,JKRowling,51,0.5833235475510204
25,JKRowling,53,0.6145991322448979
26,JKRowling,55,0.6067708581632654
27,JKRowling,57,0.6159301079591837
28,JKRowling,60,0.5617075275510205
29,JKRowling,63,0.6210426487755102
30,JKRowling,65,0.6217833171428572
31,JKRowling,68,0.5635270342857143
32,JKRowling,71,0.5905390759183674
33,JKRowling,75,0.5816751632653062
34,JKRowling,76,0.6198104785714286
35,JKRowling,78,0.5925416691836735
36,JKRowling,79,0.5669490857142856
37,JKRowling,82,0.5602661175510203
38,JKRowling,85,0.5717056932653062
39,JKRowling,87,0.6027374032653061
40,JKRowling,90,0.5400053048979592
41,JKRowling,92,0.5739988606122449
42,JKRowling,94,0.5935956773469387
43,JKRowling,96,0.5661957112244898
44,JKRowling,97,0.5816935418367347
45,JKRowling,101,0.5975043210204082
46,JKRowling,102,0.5768705773469388
47,JKRowling,106,0.5635430163265306
48,JKRowling,110,0.5568943275510204
49,JKRowling,111,0.5494134308163265
